PROCESS_UUID	PROCESS_NAME	FLOW_UUID	FLOW_NAME	UNIT	
90e6ea39-1ed4-32bc-9b03-0129c6d5b2f0	Coal mine tailings storage and disposal; Production mix, underground mine	edb2b1ea-9734-464c-aaf7-a3e94c28a1a8	Coal mine tailings storage and disposal; Production mix, underground mine	kg	
ef39cdc1-cf56-45ba-ba5d-5db23349ddea	Coal cleaning; Underground mine	756647e7-8bf4-49d8-9190-7d9cf39a2345	Coal; Cleaned; Underground mine	kg	
cbc64321-512c-4b49-9d28-ed656d6aa8e6	Coal handling; Underground mine	8bf6708a-0a0f-41e4-9b1a-54a92b11dd21	Coal; Handled; From underground mine	kg	
4b4db9ff-6ce1-4b10-9353-baae83afbee1	Coal extraction; Underground mine	31c2fb00-53ac-4ab1-984d-dd9791b7ca0f	Coal; Production mix, from underground mine	kg	
93d8ea2e-7a50-4fb3-a3b5-cf489aa1937d	Coal extraction; Surface mine	65ea5547-806a-4557-b1cd-d629d4f0aa66	Coal; Production mix, from surface mine	kg	
d04ff0ad-5535-353e-aabc-27b89137bc92	Mixed recyclables, at collection, dropoff center	6e4fea52-8f29-321a-b1af-c1d1cfbf7da5	Mixed recyclables, at collection, dropoff center	kg	
e93ae1c1-8454-328d-aef7-3698311ae06a	Mixed recyclables, to MRF	1f0bd7aa-6cb7-3b9d-86a5-ef1b7668e8aa	Mixed recyclables, to MRF	kg	
11a07256-81f3-3c25-b46e-f3b9998d7bcf	Soybeans, at field, 1998-2001	96a1b941-f5eb-3ac4-b831-9ffda7a8c7cb	Soybeans, at field, 1998-2001	kg	
11a07256-81f3-3c25-b46e-f3b9998d7bcf	Soybeans, at field, 1998-2001	82860409-cc55-31f3-874c-d028dab21f51	Soybean grains, at field, 1998-2001	kg	
11a07256-81f3-3c25-b46e-f3b9998d7bcf	Soybeans, at field, 1998-2001	a2fbcaf0-917f-37bd-ba28-f1acaa83abe4	Soybean residues, at field, 1998-2001	kg	
956b53b9-dd05-35ae-a072-69f1f6906290	Soybean grains, at field	517e2dc3-1415-3feb-b7ae-45c65dca3802	Soybean residues, at field	kg	
3ffdd525-d623-363f-8876-1999b0f5130f	Cotton, whole plant, at field	4fbbb19a-bc25-3265-b196-04feec6ace45	Cotton, at field	kg	
