PROCESS_UUID	PROCESS_NAME	FLOW_UUID	FLOW_NAME	UNIT
68901ca1-a926-39cb-960e-222145eddb61	disposal, lignite ash, 0% water, to opencast refill	c0a64cce-5fe5-3d3c-a21f-88c58e19bc70	disposal, lignite ash, 0% water, to opencast refill	kg
c14bdca3-d668-3b99-8478-d82f948b856e	resource correction, PbZn, silver, negative	d1c4e06f-b964-35c5-abeb-81a6b8dde18c	resource correction, PbZn, silver, negative	kg
8f81f395-60b4-3075-a650-1208658d0d75	fuel elements PWR, UO2 3.8% & MOX, at nuclear fuel fabrication plant	1046cf31-7e98-3517-a432-8627568823cb	fuel elements PWR, UO2 3.8% & MOX, at nuclear fuel fabrication plant	kg
fa1e1ebd-36e2-3ce9-9ab6-415510c5f765	bauxite, at mine	dba0269b-7774-3090-91d6-2fb90f8a82bb	bauxite, at mine	kg
68b28744-5696-3158-a724-00a91d51b156	steel, electric, chromium steel 18/8, at plant	6feeeb41-8692-32ec-894a-a66a32c6a47e	steel, electric, chromium steel 18/8, at plant	kg
9435ec77-bfe2-38fd-ba8a-5e96f7ed034a	sulphuric acid, liquid, at plant	7c8a4c2a-771d-3e7b-933e-b491e2cc9f2b	sulphuric acid, liquid, at plant	kg
d301252d-95d2-3d70-ad2f-1f616e38b4dc	hydrogen, liquid, mercury cell, at plant	81ac368f-94d8-39af-9ab0-bd87d5e6093b	hydrogen, liquid, mercury cell, at plant	kg
d271d225-9a59-3b94-a42f-01cb8cabf573	fuel elements PWR, UO2 3.9% & MOX, at nuclear fuel fabrication plant	85bae05f-7fa4-3dab-979e-7385754e03f9	fuel elements PWR, UO2 3.9% & MOX, at nuclear fuel fabrication plant	kg
dcd2e17d-3361-3067-9ecd-eaba08307f12	disposal, textiles, soiled, 25% water, to municipal incineration	50536a57-4d1d-3fb7-827f-a72f5a0cffcf	disposal, textiles, soiled, 25% water, to municipal incineration	kg
60fef7b1-9ddc-3936-9cb3-f7c962f91c3b	xenon, gaseous, at plant	da6651df-0ff8-3ab6-b2ea-d4b2bb2d3584	xenon, gaseous, at plant	kg
b7945418-7868-3606-8df4-8de427ffd6a3	organophosphorus-compounds, at regional storehouse	1cf73a29-bbfa-335e-9c8a-38e5f3a50c45	organophosphorus-compounds, at regional storehouse	kg
5bacc1e4-decf-3baa-b82d-c3b8e711b651	metal working machine operation, process heat from light fuel oil	15df85d2-c1df-33e7-8d2e-7b865894f7f3	metal working machine operation, process heat from light fuel oil	kg
ee37a109-afde-3e4f-af2e-80500dcbeb84	solder, paste, Sn95.5Ag3.9Cu0.6, for electronics industry, at plant	44eae87f-ef83-3ae6-8b57-041b094c12b4	solder, paste, Sn95.5Ag3.9Cu0.6, for electronics industry, at plant	kg
d05d765a-63b1-3aad-b873-71453e214dba	stone meal, at regional storehouse	311ffe31-50ee-384e-b186-7bc9ea68e6d0	stone meal, at regional storehouse	kg
627c5add-bfef-3cdd-9f07-b50600ae2ac5	crude oil, production RME, at long distance transport	4446d216-e4ca-3b11-ba1b-2372bae6b57a	crude oil, production RME, at long distance transport	kg
5e4ceeb2-d209-311a-b37a-a53f3dee4d71	tractor, production	495e1f97-66a8-3db1-9ab1-550310fc24d4	tractor, production	kg
f926b565-a4a1-3bf6-adfb-6ea6ae065d61	disposal, hard coal ash, 0% water, to residual material landfill	f18d059f-b307-3444-af3f-315d4c3c292a	disposal, hard coal ash, 0% water, to residual material landfill	kg
968e650f-d92a-362f-a606-c5d52754c99b	potassium carbonate from manganese dioxide oxidation, at plant	f3efe772-513e-3c42-be35-d77c081b6e02	potassium carbonate from manganese dioxide oxidation, at plant	kg
ffef07cc-2a28-328f-a752-1561924669a9	tar, at coke plant	5190b2c8-7857-32a8-bd99-3ffea076ea0e	tar, at coke plant	kg
1ed47007-0f4b-344e-be81-e85d1c1a898b	silver, from lead production, at refinery	e25c9dff-3b09-3547-8881-70a607db83d7	silver, from lead production, at refinery	kg
41be1255-d330-3570-81a8-289cc255309b	drilling, CNC, aluminium	b50457ce-2b3e-3bee-9737-557533040798	drilling, CNC, aluminium	kg
44464979-87d9-303b-b313-ce241060d633	section bar rolling, steel	e0a16c78-15db-3772-951e-29aae831f968	section bar rolling, steel	kg
40626627-12f7-33d9-a95f-4da07685f862	corrugated board, fresh fibre, single wall, at plant	3a6a0366-9dc8-3d0e-ad5d-0c0f4446059f	corrugated board, fresh fibre, single wall, at plant	kg
fefbf967-5057-30cd-9bc9-966454876cae	wheat grains conventional, Saxony-Anhalt, at farm	f83f4a4b-3d16-3710-867e-8b09a5caeaa3	wheat grains conventional, Saxony-Anhalt, at farm	kg
e66f0fe8-3d12-3d26-9c6e-7b07cccde641	metallization paste, back side, aluminium, at plant	5194a478-f120-319c-95b3-6da002b56805	metallization paste, back side, aluminium, at plant	kg
4fe789c6-0163-3c91-b2cd-5b3308a7ce32	ammonium thiocyanate, at plant	d039652b-0ebb-32f8-8bfd-7121474e7a59	ammonium thiocyanate, at plant	kg
b6fab0e1-e29d-3630-b330-5ba5ba406b32	crude oil, used in drilling tests	f78e78eb-db00-34e5-86fd-4c712d1d9bc6	crude oil, used in drilling tests	kg
ca6d94c2-3033-396e-a955-adbd741f82ad	vegetable oil methyl ester, at esterification plant	f5e9db56-dd98-38c7-8448-b51245f37c32	vegetable oil methyl ester, at esterification plant	kg
c919b8c0-41dc-307a-9cb4-cc8c652b2002	MnO2 powder, pyrometallurgical processing Li-ion batteries, at plant	c3a6f8d5-66e1-3147-89a2-5b029c61dee2	MnO2 powder, pyrometallurgical processing Li-ion batteries, at plant	kg
2785f835-90f2-3137-8e91-1fa9a6e29c62	printed wiring board, mounted, Laptop PC mainboard, Pb containing, at plant	96277690-149f-33d9-b3e5-ad366abc2331	printed wiring board, mounted, Laptop PC mainboard, Pb containing, at plant	kg
83b96016-aacb-3b7a-a8f3-4803ab06cd57	connector, clamp connection, at plant	d728fd88-7470-3eef-a07d-2ad50dfb69a1	connector, clamp connection, at plant	kg
a9826e55-5ab3-307f-abff-e8e905d2bf28	water, decarbonised, at plant	fc10bc50-2353-3c2f-a515-e36892160250	water, decarbonised, at plant	kg
b6afc00c-b465-328d-a5da-1d32957289a4	gallium, semiconductor-grade, at plant	94f8c34c-d3e9-382d-ae4f-c642da4bd2ee	gallium, semiconductor-grade, at plant	kg
dcbd230c-58ba-3903-bf39-0bfbf86f90ab	boron carbide, at plant	3f93de2e-f00b-3dec-84a5-90fbadfcd845	boron carbide, at plant	kg
e21541cf-f4a7-317e-a7ed-11952ca3b23e	shredding, electrical and electronic scrap	74d50541-8777-3839-819c-15929b153605	shredding, electrical and electronic scrap	kg
2fbae852-4af4-3de4-a6c3-0c6a4a48a936	acetic acid from acetaldehyde, at plant	eb31cc88-8543-3733-821c-2e0e25df0080	acetic acid from acetaldehyde, at plant	kg
fb5ea4a2-5018-3ede-82ca-8bd715e3c1a4	fraction 8, from naphtha, at plant	71779f5f-9200-30b5-b274-ecb4dcddde34	fraction 8, from naphtha, at plant	kg
82f6c7b2-acd2-3ea1-bc00-755da7c92fe5	petrol, low-sulphur, at regional storage	e52b5e8e-e5a6-3ef8-aed2-8dbaac8349e1	petrol, low-sulphur, at regional storage	kg
d1c06d6b-c99b-3156-bc41-e422abb872a3	DTPA, diethylenetriaminepentaacetic acid, at plant	210ce05d-c8fb-3c40-b175-a995036a3c55	DTPA, diethylenetriaminepentaacetic acid, at plant	kg
